Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
14.577,3.603,0.000,0.000,26.85,2288.88,32.49
22.192,3.605,0.000,0.000,26.90,2288.87,33.29
29.264,3.605,0.000,0.000,27.30,2288.88,33.87
36.240,3.603,0.000,0.000,27.65,2288.88,34.24
43.193,3.605,0.000,0.000,28.25,2288.88,34.35
50.154,3.605,0.000,0.000,28.80,2288.88,34.31
57.086,3.605,0.000,0.000,29.30,2288.87,34.26
64.019,3.605,0.000,0.000,29.75,2288.88,31.80
70.951,3.605,0.000,0.000,30.05,2288.87,28.46
77.852,3.605,0.000,0.000,30.30,2288.87,27.07
84.880,3.605,0.000,0.000,30.50,2288.86,26.41
91.814,3.605,0.000,0.000,30.65,2288.87,25.89
98.775,3.605,0.000,0.000,30.70,2288.86,26.79
105.730,3.605,0.000,0.000,30.75,2288.86,33.05
112.675,3.605,0.000,0.000,30.75,2288.89,33.35
