Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
15.603,3.108,3.298,10.252,29.90,2286.10,33.39
23.894,3.152,3.296,10.388,29.90,2286.10,33.44
31.854,3.186,3.298,10.508,29.90,2286.12,33.43
38.826,3.211,3.298,10.591,29.95,2286.11,33.38
45.737,3.236,3.298,10.674,30.00,2286.11,33.38
52.709,3.257,3.298,10.742,30.00,2286.12,33.40
59.648,3.278,3.298,10.810,30.00,2286.11,33.41
66.618,3.296,3.298,10.871,30.00,2286.13,33.43
73.559,3.314,3.298,10.931,30.00,2286.12,33.43
80.549,3.330,3.296,10.976,30.00,2286.11,33.41
87.482,3.346,3.298,11.037,30.00,2286.11,33.40
95.403,3.362,3.298,11.090,30.05,2286.12,33.35
103.345,3.378,3.298,11.142,30.05,2286.12,33.33
110.355,3.390,3.298,11.180,30.05,2286.11,33.30
117.256,3.403,3.298,11.225,30.05,2286.12,33.26
124.207,3.415,3.298,11.263,30.05,2286.12,33.21
131.177,3.426,3.298,11.301,30.05,2286.13,33.17
138.139,3.436,3.298,11.331,30.05,2286.12,33.17
145.110,3.447,3.298,11.369,30.00,2286.12,33.18
152.011,3.456,3.298,11.399,29.95,2286.13,33.25
158.953,3.468,3.298,11.437,29.95,2286.12,33.29
165.973,3.477,3.298,11.467,29.95,2286.14,33.33
172.875,3.484,3.298,11.490,29.95,2286.11,33.32
179.836,3.493,3.298,11.520,29.95,2286.13,33.32
186.758,3.502,3.298,11.550,29.95,2286.12,33.31
193.729,3.509,3.298,11.573,29.95,2286.12,33.32
200.697,3.518,3.298,11.603,29.90,2286.13,33.36
207.660,3.525,3.298,11.626,29.90,2286.14,33.35
214.581,3.532,3.298,11.648,29.90,2286.12,33.34
221.422,3.541,3.298,11.678,29.90,2286.13,33.34
228.478,3.548,3.298,11.701,29.85,2286.14,33.42
235.443,3.555,3.298,11.724,29.85,2286.13,33.50
242.387,3.559,3.298,11.739,29.85,2286.14,33.53
249.362,3.566,3.298,11.761,29.90,2286.14,33.57
256.292,3.573,3.298,11.784,29.90,2286.13,33.58
263.260,3.577,3.298,11.799,29.95,2286.13,33.57
270.211,3.584,3.298,11.822,29.95,2286.13,33.54
277.140,3.589,3.298,11.837,30.05,2286.14,33.52
284.109,3.596,3.298,11.860,30.05,2286.13,33.47
291.047,3.600,3.298,11.875,30.05,2286.15,33.44
298.027,3.605,3.298,11.890,30.05,2286.14,33.39
304.956,3.607,3.298,11.897,30.05,2286.14,33.34
311.907,3.609,3.298,11.905,30.05,2286.14,33.32
318.859,3.614,3.298,11.920,30.05,2286.14,33.35
325.823,3.616,3.298,11.928,30.05,2286.14,33.36
332.780,3.616,3.298,11.928,30.05,2286.14,33.33
339.760,3.619,3.298,11.935,30.05,2286.15,33.32
347.701,3.621,3.298,11.943,30.00,2286.15,33.35
354.661,3.623,3.298,11.950,29.95,2286.13,33.44
361.491,3.623,3.298,11.950,29.90,2286.14,33.53
369.549,3.626,3.298,11.958,29.85,2286.15,33.65
376.513,3.628,3.298,11.965,29.85,2286.16,33.68
383.454,3.628,3.298,11.965,29.85,2286.15,33.69
390.444,3.630,3.298,11.973,29.90,2286.15,33.71
397.366,3.630,3.298,11.973,30.00,2286.16,33.69
404.337,3.632,3.298,11.980,30.00,2286.15,33.66
411.288,3.635,3.298,11.988,30.05,2286.15,33.66
419.240,3.635,3.298,11.988,30.05,2286.14,33.64
426.193,3.637,3.298,11.995,30.05,2286.14,33.59
433.131,3.639,3.298,12.003,30.05,2286.15,33.55
440.072,3.639,3.298,12.003,30.05,2286.15,33.51
447.069,3.642,3.298,12.011,30.05,2286.16,33.53
453.997,3.644,3.298,12.018,30.05,2286.14,33.54
460.933,3.644,3.298,12.018,30.05,2286.15,33.52
467.880,3.646,3.298,12.026,30.05,2286.15,33.50
474.849,3.648,3.298,12.033,29.95,2286.16,33.50
481.807,3.648,3.298,12.033,29.95,2286.15,33.55
489.746,3.651,3.298,12.041,29.90,2286.15,33.61
497.710,3.653,3.298,12.048,29.90,2286.16,33.73
504.646,3.653,3.298,12.048,29.90,2286.17,33.77
511.606,3.655,3.298,12.056,29.95,2286.16,33.81
518.539,3.658,3.298,12.063,29.95,2286.16,33.84
