[EIS_Measurement_Information]
Measurement_Index=6
Timestamp=2026-03-27 18:59:53
Elapsed_Time_s=14762.7
Target_SOC_Percent=0.0
Actual_SOC_Percent=0.0
OCV_Voltage_V=2.81559324
DTB_Temperature_C=29.9
TC0_Temperature_C=2286.5
TC1_Temperature_C=33.8
Retry_Count=0

[EIS_Configuration]
OCV_Duration_s=10.0
GEIS_Initial_Freq_Hz=10000
GEIS_Final_Freq_Hz=0.1
GEIS_Freq_Points=31
GEIS_Amplitude_A=0.500
GEIS_Average_N=2

[Impedance_Data]
# Frequency_Hz,Z_Real_Ohm,Z_Imag_Ohm,Z_Mag_Ohm,Phase_Deg
10002.2,0.037791,0.030486,0.048555,38.89
6811.1,0.037108,0.020940,0.042608,29.44
4641.5,0.036693,0.014317,0.039387,21.31
3161.0,0.036494,0.009568,0.037727,14.69
2155.7,0.036447,0.006317,0.036990,9.83
1468.6,0.036533,0.003968,0.036747,6.20
1000.3,0.036651,0.002362,0.036727,3.69
681.1,0.036873,0.001276,0.036895,1.98
464.0,0.037118,0.000466,0.037121,0.72
316.3,0.037385,-0.000074,0.037385,-0.11
215.3,0.037677,-0.000456,0.037680,-0.69
146.7,0.037955,-0.000779,0.037963,-1.18
100.0,0.038287,-0.000954,0.038299,-1.43
68.1,0.038598,-0.001080,0.038613,-1.60
46.4,0.038908,-0.001188,0.038927,-1.75
31.6,0.039213,-0.001298,0.039234,-1.90
21.6,0.039470,-0.001489,0.039498,-2.16
14.7,0.039858,-0.001524,0.039887,-2.19
10.0,0.040236,-0.001691,0.040271,-2.41
6.8,0.040658,-0.001877,0.040701,-2.64
4.7,0.041103,-0.002048,0.041154,-2.85
3.2,0.041605,-0.002231,0.041664,-3.07
2.2,0.042101,-0.002425,0.042171,-3.30
1.5,0.042651,-0.002742,0.042739,-3.68
1.0,0.043479,-0.002757,0.043566,-3.63
0.7,0.043688,-0.003203,0.043806,-4.19
0.5,0.044193,-0.003332,0.044318,-4.31
0.3,0.045098,-0.004738,0.045346,-6.00
0.2,0.046413,-0.006018,0.046802,-7.39
0.1,0.046351,-0.005616,0.046690,-6.91
