Time_s,DTB_Avg_C,DTB1_C,DTB2_C,TC0_C,TC1_C
5.5,30.00,30.10,29.90,2286.40,33.81
13.9,30.00,30.10,29.90,2286.40,33.74
22.8,30.00,30.10,29.90,2286.40,33.69
29.8,30.00,30.10,29.90,2286.39,33.62
38.7,30.00,30.10,29.90,2286.40,33.57
45.7,30.00,30.10,29.90,2286.40,33.59
54.6,30.00,30.10,29.90,2286.39,33.57
61.6,30.00,30.10,29.90,2286.41,33.51
70.5,30.00,30.10,29.90,2286.39,33.48
77.5,29.95,30.00,29.90,2286.40,33.43
86.4,29.90,29.90,29.90,2286.38,33.50
93.4,29.85,29.80,29.90,2286.39,33.66
102.3,29.85,29.80,29.90,2286.39,33.68
109.3,29.85,29.80,29.90,2286.39,33.75
118.2,29.90,29.80,30.00,2286.40,33.74
125.2,29.90,29.80,30.00,2286.39,33.73
134.1,29.95,29.90,30.00,2286.41,33.73
141.1,30.00,30.00,30.00,2286.38,33.68
150.0,30.00,30.00,30.00,2286.37,33.61
157.0,30.00,30.00,30.00,2286.38,33.58
166.0,30.00,30.00,30.00,2286.38,33.55
172.9,30.00,30.00,30.00,2286.38,33.59
181.8,30.00,30.00,30.00,2286.38,33.59
188.8,30.00,30.00,30.00,2286.38,33.57
197.7,30.00,30.00,30.00,2286.38,33.53
206.7,30.00,30.00,30.00,2286.38,33.50
215.6,30.00,30.00,30.00,2286.37,33.45
222.6,30.00,30.00,30.00,2286.39,33.47
231.5,30.00,30.00,30.00,2286.37,33.49
238.5,30.00,30.00,30.00,2286.39,33.46
247.4,30.00,30.00,30.00,2286.37,33.44
256.4,30.00,30.00,30.00,2286.37,33.43
265.3,30.00,30.00,30.00,2286.38,33.42
272.3,29.95,29.90,30.00,2286.37,33.45
281.2,29.95,29.90,30.00,2286.37,33.49
288.2,29.90,29.80,30.00,2286.37,33.55
298.1,29.90,29.80,30.00,2286.38,33.65
307.1,29.90,29.80,30.00,2286.37,33.70
314.0,29.85,29.80,29.90,2286.38,33.75
323.0,29.85,29.80,29.90,2286.37,33.81
329.9,29.90,29.90,29.90,2286.37,33.82
338.9,29.90,29.90,29.90,2286.38,33.79
345.8,29.95,30.00,29.90,2286.38,33.75
354.8,30.00,30.00,30.00,2286.38,33.74
361.7,30.05,30.10,30.00,2286.38,33.74
370.7,30.05,30.10,30.00,2286.38,33.73
377.6,30.05,30.10,30.00,2286.37,33.72
386.6,30.05,30.10,30.00,2286.37,33.72
393.5,30.05,30.10,30.00,2286.38,33.69
402.5,30.05,30.10,30.00,2286.37,33.65
411.4,30.05,30.10,30.00,2286.37,33.66
421.3,30.00,30.10,29.90,2286.37,33.64
430.3,29.95,30.00,29.90,2286.38,33.69
437.2,29.95,30.00,29.90,2286.38,33.64
446.2,30.00,30.10,29.90,2286.37,33.61
453.1,30.00,30.10,29.90,2286.37,33.58
462.1,30.00,30.10,29.90,2286.37,33.65
469.0,30.00,30.10,29.90,2286.34,33.59
478.0,30.00,30.10,29.90,2286.35,33.55
484.9,30.00,30.10,29.90,2286.37,33.48
493.9,30.00,30.10,29.90,2286.34,33.41
500.8,30.00,30.10,29.90,2286.34,33.49
509.8,29.95,30.00,29.90,2286.34,33.50
516.7,29.90,29.90,29.90,2286.35,33.63
525.7,29.90,29.90,29.90,2286.34,33.68
532.7,29.90,29.90,29.90,2286.33,33.67
541.6,29.95,30.00,29.90,2286.31,33.64
548.6,30.00,30.00,30.00,2286.33,33.59
557.5,30.00,30.00,30.00,2286.33,33.62
564.4,30.00,30.00,30.00,2286.33,33.68
573.4,30.00,30.00,30.00,2286.31,33.65
582.3,30.00,30.00,30.00,2286.32,33.63
591.3,30.00,30.00,30.00,2286.32,33.60
598.2,30.05,30.10,30.00,2286.32,33.51
607.2,30.10,30.20,30.00,2286.33,33.46
614.1,30.10,30.20,30.00,2286.32,33.39
623.1,30.00,30.00,30.00,2286.32,33.36
630.0,30.00,30.00,30.00,2286.33,33.44
639.0,30.00,30.00,30.00,2286.30,33.42
645.9,29.90,29.90,29.90,2286.31,33.45
654.9,29.85,29.80,29.90,2286.32,33.56
661.9,29.80,29.70,29.90,2286.31,33.67
670.8,29.80,29.70,29.90,2286.31,33.77
677.7,29.80,29.70,29.90,2286.32,33.76
687.7,29.90,29.90,29.90,2286.30,33.74
696.7,29.90,29.90,29.90,2286.31,33.70
703.6,29.90,29.90,29.90,2286.30,33.68
712.6,29.90,29.90,29.90,2286.31,33.69
719.5,29.95,30.00,29.90,2286.30,33.69
728.5,29.95,30.00,29.90,2286.30,33.66
735.4,30.00,30.00,30.00,2286.30,33.73
744.4,30.00,30.00,30.00,2286.31,33.71
751.3,30.00,30.00,30.00,2286.30,33.69
760.3,30.00,30.00,30.00,2286.30,33.68
769.2,30.00,30.00,30.00,2286.30,33.62
779.1,30.00,30.00,30.00,2286.31,33.59
788.1,30.00,30.00,30.00,2286.30,33.55
795.0,30.00,30.00,30.00,2286.29,33.52
805.0,30.00,30.00,30.00,2286.32,33.56
813.9,30.00,30.00,30.00,2286.30,33.56
820.9,30.00,30.00,30.00,2286.30,33.55
829.8,30.00,30.00,30.00,2286.30,33.54
836.8,30.00,30.00,30.00,2286.31,33.53
845.6,30.00,30.00,30.00,2286.30,33.53
852.7,29.95,29.90,30.00,2286.30,33.59
861.6,29.95,29.90,30.00,2286.30,33.62
868.6,29.85,29.80,29.90,2286.32,33.73
877.5,29.85,29.80,29.90,2286.30,33.78
884.5,29.85,29.80,29.90,2286.30,33.84
893.4,29.85,29.80,29.90,2286.30,33.83
900.4,29.95,29.90,30.00,2286.30,33.84
909.3,30.00,30.00,30.00,2286.31,33.84
916.3,30.00,30.00,30.00,2286.31,33.79
925.2,30.00,30.00,30.00,2286.30,33.78
932.2,30.05,30.10,30.00,2286.31,33.75
941.1,30.05,30.10,30.00,2286.30,33.71
948.1,30.05,30.10,30.00,2286.30,33.72
957.0,30.05,30.10,30.00,2286.30,33.69
964.0,30.05,30.10,30.00,2286.31,33.66
972.9,30.00,30.10,29.90,2286.30,33.67
979.9,30.00,30.10,29.90,2286.32,33.65
