test_id,test_name,battery_v_start,target_v,reg498_sink_power,reg499_sink_current,reg500_voltage,reg501_current,reg502_power,reg9000_v_max,reg9001_v_min,reg9002_i_max,reg9003_i_min,reg9004_p_max,reg9005_p_sink_max,reg9008_i_sink_max,reg9009_i_sink_min,pre_enable_mode,pre_enable_direction,pre_enable_output,post_enable_mode,post_enable_direction,post_enable_output,mode_switched,avg_voltage,avg_current,peak_current,avg_power,current_nonzero,test_result,notes
1,CV-PowerLimit-20W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,20.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
2,CV-PowerLimit-30W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,30.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
3,CV-PowerLimit-50W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,50.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
4,CV-PowerLimit-100W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,100.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
5,CV-PowerLimit-200W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,200.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
6,CV-PowerLimit-1224W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
7,CV-Decoy-0A-0W,2.700,4.200,0.00,0.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
8,CV-Decoy-5A-50W,2.700,4.200,50.00,5.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
9,CV-Decoy-10A-100W,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
10,CV-Secondary-0.0A,2.700,4.200,100.00,10.00,4.20,0.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
11,CV-Secondary-0.5A,2.700,4.200,100.00,10.00,4.20,0.50,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
12,CV-Secondary-1.0A,2.700,4.200,100.00,10.00,4.20,1.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CP,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
13,CC-0.5A-3.0V,2.700,3.000,100.00,10.00,0.00,0.50,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
14,CC-0.5A-3.7V,2.700,3.700,100.00,10.00,0.00,0.50,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
15,CC-0.5A-4.2V,2.700,4.200,100.00,10.00,0.00,0.50,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
16,CC-1.0A-3.0V,2.700,3.000,100.00,10.00,0.00,1.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
17,CC-1.0A-3.7V,2.700,3.700,100.00,10.00,0.00,1.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
18,CC-1.0A-4.2V,2.700,4.200,100.00,10.00,0.00,1.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
19,CC-3.0A-3.0V,2.700,3.000,100.00,10.00,0.00,3.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
20,CC-3.0A-3.7V,2.700,3.700,100.00,10.00,0.00,3.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
21,CC-3.0A-4.2V,2.700,4.200,100.00,10.00,0.00,3.00,0.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
22,CP-5W-3.0V,2.700,3.000,100.00,10.00,0.00,0.00,5.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
23,CP-5W-3.7V,2.700,3.700,100.00,10.00,0.00,0.00,5.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
24,CP-5W-4.2V,2.700,4.200,100.00,10.00,0.00,0.00,5.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
25,CP-10W-3.0V,2.700,3.000,100.00,10.00,0.00,0.00,10.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
26,CP-10W-3.7V,2.700,3.700,100.00,10.00,0.00,0.00,10.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
27,CP-10W-4.2V,2.700,4.200,100.00,10.00,0.00,0.00,10.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
28,CP-20W-3.0V,2.700,3.000,100.00,10.00,0.00,0.00,20.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
29,CP-20W-3.7V,2.700,3.700,100.00,10.00,0.00,0.00,20.00,61.20,0.00,61.20,0.00,1224.00,1224.00,61.20,0.00,CV,SOURCE,0,CC,SOURCE,1,1,2.705,0.000,0.000,0.00,0,FAIL,"FAIL - Zero current (mode issue?)"
